location_abbr,location,subgroup_cat,subgroup,depression_within_3_months_birth,anxiety_within_3_months_birth,binge_drinking_within_3_months_birth,alcohol_use_within_3_months_birth
TN,Tennessee,Age group,25-34,17.7,16.2,5,10.8
TN,Tennessee,Age group,35 or older,11.8,23.8,5.3,14.7
TN,Tennessee,Age group,Under 25,23,16.2,2.8,
TN,Tennessee,Birth history,First birth,17.3,,,11.1
TN,Tennessee,Birth history,Previous birth,13.4,20.1,5.6,14.9
TN,Tennessee,Insurance type,Private,12.2,14.5,5.7,11.9
TN,Tennessee,Insurance type,Public,14.5,24.6,5.1,9.1
TN,Tennessee,Insurance type,Uninsured,16.4,,4.5,12.8
TN,Tennessee,Prenatal care,Early care,10.1,24.5,6.4,13
TN,Tennessee,Prenatal care,Later or no care,,,3.7,7.2
TX,Texas,Age group,25-34,27.1,29.4,,13.1
TX,Texas,Age group,35 or older,21,29.7,7.9,14.2
TX,Texas,Age group,Under 25,22.1,32,3.8,11.3
TX,Texas,Birth history,First birth,18.6,22.9,10.4,10.8
TX,Texas,Birth history,Previous birth,14.8,23.6,7.9,15.1
TX,Texas,Insurance type,Private,13,32,8.9,15.7
TX,Texas,Insurance type,Public,24.3,36.5,4.9,7.8
TX,Texas,Insurance type,Uninsured,23.2,29,1.7,7.7
TX,Texas,Prenatal care,Early care,16.7,14.2,4.5,
TX,Texas,Prenatal care,Later or no care,23.8,35.4,5.6,11.5
UT,Utah,Age group,25-34,15.1,20,3.6,15.5
UT,Utah,Age group,35 or older,12.5,23.4,7.3,10.3
UT,Utah,Age group,Under 25,22.2,30.3,4.3,11.5
UT,Utah,Birth history,First birth,16.3,17.5,4.2,14.9
UT,Utah,Birth history,Previous birth,15.8,26.7,5.4,11
UT,Utah,Insurance type,Private,15.1,18,7.9,11.4
UT,Utah,Insurance type,Public,21,15.8,1.4,7.9
UT,Utah,Insurance type,Uninsured,17.5,20.3,5.8,10.7
UT,Utah,Prenatal care,Early care,20.4,14.1,7.8,17.6
UT,Utah,Prenatal care,Later or no care,21.7,,1.4,6.1
VA,Virginia,Age group,25-34,16.4,24.3,4.8,12.3
VA,Virginia,Age group,35 or older,15.5,25.1,4.3,12.8
VA,Virginia,Age group,Under 25,22.8,29.3,5.1,
VA,Virginia,Birth history,First birth,13.6,25.4,7.2,8.7
VA,Virginia,Birth history,Previous birth,18.4,21.9,5.8,13.9
VA,Virginia,Insurance type,Private,11.7,,8,10.2
VA,Virginia,Insurance type,Public,,36.5,3.6,12
VA,Virginia,Insurance type,Uninsured,20.2,27.5,6.4,8.1
VA,Virginia,Prenatal care,Early care,9.6,28,7.9,14
VA,Virginia,Prenatal care,Later or no care,28.7,25.7,4.6,10.6
VT,Vermont,Age group,25-34,11.4,19,2.1,9
VT,Vermont,Age group,35 or older,16.3,16,1.9,7.9
VT,Vermont,Age group,Under 25,17.2,24.8,6.3,8.1
VT,Vermont,Birth history,First birth,13.2,20,8.3,10.8
VT,Vermont,Birth history,Previous birth,10.3,26.2,6.7,
VT,Vermont,Insurance type,Private,13.4,18.5,6,10.5
VT,Vermont,Insurance type,Public,20.1,16.6,6.1,9.8
VT,Vermont,Insurance type,Uninsured,21.3,24.6,4.2,9.2
VT,Vermont,Prenatal care,Early care,17.8,17.2,1.7,11.2
VT,Vermont,Prenatal care,Later or no care,18.7,21.5,7,12.1
WA,Washington,Age group,25-34,16,,1.7,11
WA,Washington,Age group,35 or older,11,21.6,4.1,8.9
WA,Washington,Age group,Under 25,21.4,19,4.9,9.6
WA,Washington,Birth history,First birth,16.1,19.7,3.3,16.2
WA,Washington,Birth history,Previous birth,11.3,11.8,3.2,8.6
WA,Washington,Insurance type,Private,11.5,8.5,3.3,8.6
WA,Washington,Insurance type,Public,18.6,23.8,0,9.9
WA,Washington,Insurance type,Uninsured,,23.7,3.6,8.9
WA,Washington,Prenatal care,Early care,12.7,13.5,5.1,11.1
WA,Washington,Prenatal care,Later or no care,19.3,20,4.6,10.4
WI,Wisconsin,Age group,25-34,20.6,18.8,7.9,10.7
WI,Wisconsin,Age group,35 or older,27,12.7,8,16.3
WI,Wisconsin,Age group,Under 25,,29.7,5.1,11.7
WI,Wisconsin,Birth history,First birth,15,27.7,6.9,12.9
WI,Wisconsin,Birth history,Previous birth,16,23.9,2.5,10.3
WI,Wisconsin,Insurance type,Private,11,20.5,6.4,12.8
WI,Wisconsin,Insurance type,Public,26.7,24.3,5.7,13.9
WI,Wisconsin,Insurance type,Uninsured,17.7,31.1,9,17.2
WI,Wisconsin,Prenatal care,Early care,12.3,17.9,5.2,17.4
WI,Wisconsin,Prenatal care,Later or no care,25.1,32.7,6.9,6.5
WV,West Virginia,Age group,25-34,16.8,21.9,6.6,
WV,West Virginia,Age group,35 or older,15.8,,2.8,7.7
WV,West Virginia,Age group,Under 25,13.7,20.1,0,9.1
WV,West Virginia,Birth history,First birth,5.1,11.4,5.8,7
WV,West Virginia,Birth history,Previous birth,12.5,19,4.7,5.6
WV,West Virginia,Insurance type,Private,6.4,10.9,1.3,13.4
WV,West Virginia,Insurance type,Public,15.8,15,2.9,7
WV,West Virginia,Insurance type,Uninsured,18.2,16.8,0,7.9
WV,West Virginia,Prenatal care,Early care,8,13.6,0.5,
WV,West Virginia,Prenatal care,Later or no care,11.3,23.1,,6.1
WY,Wyoming,Age group,25-34,9.4,15.8,4.3,6.9
WY,Wyoming,Age group,35 or older,11.1,21.2,3.9,12.4
WY,Wyoming,Age group,Under 25,17.7,28.3,2.5,4.7
WY,Wyoming,Birth history,First birth,14.4,18.3,,6.6
WY,Wyoming,Birth history,Previous birth,12.9,18.8,0,9.7
WY,Wyoming,Insurance type,Private,8.5,13.5,,6.2
WY,Wyoming,Insurance type,Public,19.5,21.5,4.4,
WY,Wyoming,Insurance type,Uninsured,16.4,,3,7.3
WY,Wyoming,Prenatal care,Early care,6.1,14.5,4.9,12.6
WY,Wyoming,Prenatal care,Later or no care,14.9,27.2,1.1,3.4
